Zip Code,Location,City,Population,% Unemployment Rate,National Rank
11433,"40.698135, -73.787009","Jamaica, New York","28,435",12.60%,"#2,490"
12857,"43.832667, -73.971509","Olmstedville, New York",502,12.59%,"#2,496"
13470,"43.209651, -74.610052","Stratford, New York",705,12.58%,"#2,502"
11954,"41.047283, -71.949541","Montauk, New York","3,851",12.50%,"#2,551"
10503,"41.025560, -73.874987","Ardsley On Hudson, New York",115,12.50%,"#2,552"
11239,"40.644728, -73.879186","Brooklyn, New York","14,620",12.47%,"#2,567"
13608,"44.254686, -75.615340","Antwerp, New York","1,618",12.42%,"#2,583"
11203,"40.649411, -73.934397","Brooklyn, New York","84,498",12.37%,"#2,608"
11436,"40.675266, -73.796570","Jamaica, New York","18,148",12.21%,"#2,667"
14620,"43.127295, -77.610027","Rochester, New York","28,094",12.16%,"#2,699"
12789,"41.694323, -74.574261","Woodridge, New York","1,677",12.14%,"#2,708"
12043,"42.693970, -74.530506","Cobleskill, New York","8,207",12.10%,"#2,730"
10001,"40.750722, -73.997276","New York, New York","17,310",12.09%,"#2,736"
10467,"40.877420, -73.872597","Bronx, New York","94,342",12.09%,"#2,737"
12754,"41.802957, -74.745419","Liberty, New York","7,130",12.06%,"#2,752"
12473,"42.277061, -74.078875","Round Top, New York",736,12.04%,"#2,769"
14621,"43.186402, -77.601255","Rochester, New York","35,977",12.03%,"#2,776"
10034,"40.869208, -73.921929","New York, New York","41,756",11.94%,"#2,829"
14207,"42.952131, -78.898018","Buffalo, New York","22,986",11.82%,"#2,889"
12726,"41.699480, -74.988521","Cochecton, New York","1,185",11.76%,"#2,921"
12423,"42.382493, -74.109110","East Durham, New York","1,041",11.72%,"#2,938"
12852,"44.007172, -74.099920","Newcomb, New York",481,11.65%,"#2,973"
12307,"42.806322, -73.934477","Schenectady, New York","6,843",11.63%,"#2,983"
12967,"44.772993, -74.662821","North Lawrence, New York","1,099",11.60%,"#3,006"
12507,"42.008365, -73.918926","Barrytown, New York",108,11.59%,"#3,015"
13210,"43.031420, -76.125816","Syracuse, New York","27,352",11.59%,"#3,019"
14784,"42.319116, -79.389155","Stockton, New York","1,012",11.58%,"#3,022"
14604,"43.157078, -77.604677","Rochester, New York","1,683",11.54%,"#3,045"
11369,"40.763513, -73.871961","East Elmhurst, New York","36,110",11.48%,"#3,080"
13648,"44.136851, -75.285638","Harrisville, New York","2,427",11.38%,"#3,150"
14706,"42.106183, -78.528294","Allegany, New York","7,596",11.30%,"#3,202"
13333,"42.836735, -74.805803","East Springfield, New York",142,11.29%,"#3,213"
12916,"44.829345, -74.514650","Brushton, New York","1,857",11.29%,"#3,214"
11434,"40.676808, -73.776425","Jamaica, New York","59,142",11.28%,"#3,219"
12169,"42.592887, -73.448036","Stephentown, New York",166,11.22%,"#3,260"
10002,"40.715952, -73.985870","New York, New York","84,870",11.20%,"#3,273"
13136,"42.594572, -75.848430","Pitcher, New York",621,11.11%,"#3,336"
11211,"40.713507, -73.952578","Brooklyn, New York","85,089",11.08%,"#3,355"
13204,"43.051756, -76.178000","Syracuse, New York","20,826",11.08%,"#3,358"
13681,"44.428046, -75.373133","Richville, New York",820,11.04%,"#3,384"
11694,"40.576906, -73.846381","Rockaway Park, New York","19,278",11.03%,"#3,390"
11101,"40.746970, -73.937530","Long Island City, New York","25,595",11.01%,"#3,399"
12180,"42.748588, -73.599536","Troy, New York","52,907",10.94%,"#3,433"
14861,"42.099275, -76.681052","Lowman, New York","1,459",10.94%,"#3,435"
12743,"41.577183, -74.836643","Highland Lake, New York",303,10.94%,"#3,436"
12701,"41.652125, -74.698825","Monticello, New York","11,522",10.91%,"#3,450"
11368,"40.749407, -73.852780","Corona, New York","98,841",10.88%,"#3,467"
14715,"42.076533, -78.144754","Bolivar, New York","3,277",10.85%,"#3,484"
12748,"41.770795, -74.928957","Jeffersonville, New York","1,929",10.84%,"#3,489"
13863,"42.435399, -75.906242","Willet, New York",598,10.83%,"#3,496"
11435,"40.701408, -73.809817","Jamaica, New York","53,877",10.77%,"#3,544"
14877,"42.059452, -77.684497","Rexville, New York",651,10.76%,"#3,550"
12843,"43.565104, -73.972748","Johnsburg, New York",665,10.75%,"#3,564"
12454,"42.293523, -74.153428","Maplecrest, New York",552,10.70%,"#3,598"
12487,"41.877496, -73.999323","Ulster Park, New York","3,856",10.69%,"#3,610"
10013,"40.720067, -74.004829","New York, New York","25,042",10.68%,"#3,615"
12930,"44.724058, -74.532775","Dickinson Center, New York",571,10.67%,"#3,627"
13205,"43.004501, -76.141720","Syracuse, New York","20,592",10.59%,"#3,686"
12992,"44.826541, -73.532192","West Chazy, New York","4,533",10.53%,"#3,738"
12480,"42.159477, -74.363284","Shandaken, New York",787,10.53%,"#3,740"
13331,"43.866325, -74.880855","Eagle Bay, New York",293,10.52%,"#3,753"
12202,"42.634583, -73.763986","Albany, New York","10,021",10.51%,"#3,761"
12751,"41.682808, -74.656247","Kiamesha Lake, New York",387,10.47%,"#3,789"
12131,"42.491723, -74.471816","North Blenheim, New York",217,10.43%,"#3,825"
13639,"44.278730, -75.119383","Fine, New York",191,10.41%,"#3,841"
12914,"44.930433, -74.602930","Bombay, New York","1,163",10.38%,"#3,857"
14904,"42.069428, -76.805553","Elmira, New York","16,862",10.28%,"#3,933"
12923,"44.944581, -73.945816","Churubusco, New York",657,10.23%,"#3,968"
12763,"41.690603, -74.525308","Mountain Dale, New York",766,10.23%,"#3,969"
14879,"42.307683, -77.202498","Savona, New York","1,985",10.19%,"#3,998"
12810,"43.491968, -73.985941","Athol, New York",643,10.17%,"#4,016"
11693,"40.611082, -73.822757","Far Rockaway, New York","11,157",10.15%,"#4,033"
13433,"43.589518, -75.242417","Port Leyden, New York","1,732",10.14%,"#4,052"
13045,"42.587244, -76.188554","Cortland, New York","29,174",10.11%,"#4,079"
13493,"43.432843, -75.897509","Williamstown, New York","2,199",10.10%,"#4,085"
14735,"42.452690, -78.096169","Fillmore, New York","2,643",10.10%,"#4,097"
10462,"40.842823, -73.858861","Bronx, New York","72,077",10.09%,"#4,107"
13420,"43.649537, -74.987135","Old Forge, New York","1,587",10.08%,"#4,110"
12950,"44.318369, -73.581246","Lewis, New York",749,10.05%,"#4,131"
10466,"40.891039, -73.847226","Bronx, New York","68,787",9.95%,"#4,219"
14846,"42.534005, -78.012151","Hunt, New York",766,9.94%,"#4,234"
11238,"40.678424, -73.963874","Brooklyn, New York","48,965",9.93%,"#4,241"
13774,"41.953908, -75.193403","Fishs Eddy, New York",286,9.91%,"#4,256"
14215,"42.934353, -78.809741","Buffalo, New York","44,484",9.88%,"#4,278"
13083,"43.650543, -75.982795","Lacona, New York","1,759",9.83%,"#4,330"
10303,"40.629885, -74.174130","Staten Island, New York","23,530",9.83%,"#4,332"
13613,"44.843198, -74.749024","Brasher Falls, New York","2,450",9.82%,"#4,342"
14891,"42.377014, -76.946182","Watkins Glen, New York","4,409",9.82%,"#4,343"
11412,"40.696878, -73.760260","Saint Albans, New York","37,452",9.80%,"#4,364"
12974,"44.043787, -73.472821","Port Henry, New York","1,540",9.75%,"#4,412"
13839,"42.240354, -75.259059","Sidney Center, New York","1,666",9.74%,"#4,424"
12912,"44.480950, -73.772496","Au Sable Forks, New York","2,138",9.73%,"#4,432"
13691,"44.227220, -75.773875","Theresa, New York","2,729",9.73%,"#4,433"
11236,"40.639761, -73.900640","Brooklyn, New York","96,301",9.70%,"#4,457"
10701,"40.945250, -73.881145","Yonkers, New York","63,715",9.70%,"#4,463"
11713,"40.773594, -72.945434","Bellport, New York","9,160",9.66%,"#4,489"
14839,"42.147524, -77.627811","Greenwood, New York",728,9.65%,"#4,496"
10036,"40.759614, -73.991148","New York, New York","18,751",9.64%,"#4,507"
12851,"43.846674, -74.059957","Minerva, New York",366,9.63%,"#4,519"
11210,"40.628049, -73.946278","Brooklyn, New York","62,308",9.57%,"#4,578"
12470,"42.293989, -74.037917","Purling, New York",729,9.57%,"#4,580"
13673,"44.180844, -75.726040","Philadelphia, New York","2,349",9.55%,"#4,599"
12815,"43.695952, -73.667874","Brant Lake, New York",955,9.52%,"#4,633"
14820,"42.195141, -77.370314","Cameron Mills, New York",804,9.48%,"#4,683"
10553,"40.908502, -73.821554","Mount Vernon, New York","10,102",9.45%,"#4,709"
13841,"42.419610, -75.845795","Smithville Flats, New York",399,9.44%,"#4,714"
12969,"44.760907, -74.131480","Owls Head, New York",554,9.43%,"#4,722"
12077,"42.588163, -73.777695","Glenmont, New York","5,719",9.39%,"#4,760"
10304,"40.603589, -74.102477","Staten Island, New York","38,972",9.37%,"#4,787"
14822,"42.424481, -77.851457","Canaseraga, New York","1,130",9.36%,"#4,801"
14420,"43.213653, -77.937505","Brockport, New York","19,307",9.36%,"#4,802"
12418,"42.355986, -74.156318","Cornwallville, New York",612,9.34%,"#4,820"
14101,"42.386295, -78.536979","Machias, New York","1,949",9.34%,"#4,824"
14510,"42.683839, -77.881897","Mount Morris, New York","5,094",9.34%,"#4,825"
11232,"40.655827, -74.006829","Brooklyn, New York","27,723",9.33%,"#4,836"
12935,"44.843039, -73.749557","Ellenburg Depot, New York","5,494",9.33%,"#4,841"
14613,"43.182283, -77.639548","Rochester, New York","15,078",9.33%,"#4,842"
13734,"42.069955, -76.409653","Barton, New York","2,511",9.32%,"#4,848"
13832,"42.668918, -75.686965","Plymouth, New York",675,9.31%,"#4,864"
12108,"43.519619, -74.409206","Lake Pleasant, New York",419,9.27%,"#4,903"
14741,"42.219966, -78.611624","Great Valley, New York","2,076",9.27%,"#4,904"
11432,"40.715220, -73.793188","Jamaica, New York","57,045",9.25%,"#4,922"
14739,"42.197690, -78.155910","Friendship, New York","2,968",9.25%,"#4,927"
14012,"43.332173, -78.532622","Barker, New York","2,603",9.24%,"#4,943"
13368,"43.635778, -75.325203","Lyons Falls, New York","1,162",9.22%,"#4,958"
13074,"43.319627, -76.550317","Hannibal, New York","4,340",9.21%,"#4,965"
13343,"43.742548, -75.326461","Glenfield, New York","1,752",9.18%,"#4,995"
11548,"40.814616, -73.622003","Greenvale, New York","2,514",9.16%,"#5,009"
12463,"42.185728, -74.028971","Palenville, New York","1,360",9.15%,"#5,025"
10601,"41.029566, -73.759207","White Plains, New York","8,991",9.13%,"#5,057"
10470,"40.900965, -73.863998","Bronx, New York","15,780",9.13%,"#5,058"
13145,"43.651660, -76.123014","Sandy Creek, New York","1,874",9.11%,"#5,079"
13476,"43.087503, -75.509514","Vernon, New York","3,219",9.10%,"#5,086"
14129,"42.481182, -79.017384","Perrysburg, New York","1,812",9.07%,"#5,127"
13501,"43.081159, -75.225020","Utica, New York","36,076",9.06%,"#5,141"
11418,"40.700101, -73.835908","Richmond Hill, New York","36,571",9.04%,"#5,159"
14028,"43.318386, -78.719214","Burt, New York","1,737",9.04%,"#5,162"
14081,"42.563205, -79.067832","Irving, New York","3,418",9.03%,"#5,176"
10469,"40.867849, -73.845140","Bronx, New York","63,345",9.02%,"#5,184"
13642,"44.332561, -75.465315","Gouverneur, New York","10,329",9.02%,"#5,187"
14813,"42.246862, -77.967713","Belmont, New York","2,538",8.98%,"#5,224"
12167,"42.423174, -74.598846","Stamford, New York","2,499",8.97%,"#5,236"
10471,"40.898117, -73.900227","Bronx, New York","23,413",8.96%,"#5,245"
12965,"44.694202, -74.687711","Nicholville, New York",489,8.95%,"#5,258"
10705,"40.919705, -73.889928","Yonkers, New York","38,115",8.94%,"#5,272"
13111,"43.258488, -76.614264","Martville, New York","1,748",8.93%,"#5,282"
12197,"42.609999, -74.724749","Worcester, New York","2,397",8.93%,"#5,283"
12778,"41.642678, -74.817550","Smallwood, New York",735,8.93%,"#5,286"
12996,"44.355279, -73.448053","Willsboro, New York","2,129",8.93%,"#5,287"
14206,"42.880078, -78.810472","Buffalo, New York","22,988",8.93%,"#5,288"
10463,"40.880678, -73.906540","Bronx, New York","65,576",8.91%,"#5,311"
11416,"40.684614, -73.849509","Ozone Park, New York","23,668",8.90%,"#5,325"
13650,"43.819731, -76.217537","Henderson, New York","1,319",8.88%,"#5,341"
11413,"40.669293, -73.750553","Springfield Gardens, New York","39,827",8.88%,"#5,342"
11220,"40.641307, -74.016251","Brooklyn, New York","92,718",8.87%,"#5,354"
14895,"42.081440, -77.940922","Wellsville, New York","10,311",8.86%,"#5,361"
13801,"42.505085, -75.776970","Mc Donough, New York","1,333",8.86%,"#5,362"
13844,"42.605698, -75.689550","South Plymouth, New York","1,034",8.83%,"#5,387"
11370,"40.765370, -73.893132","East Elmhurst, New York","43,142",8.82%,"#5,409"
12485,"42.204654, -74.116052","Tannersville, New York","1,480",8.82%,"#5,411"
13620,"43.908782, -75.448325","Castorland, New York","2,499",8.80%,"#5,431"
14555,"43.257062, -76.991465","Sodus Point, New York","1,287",8.79%,"#5,447"
10519,"41.342055, -73.661095","Croton Falls, New York",156,8.75%,"#5,509"
12928,"43.963848, -73.583301","Crown Point, New York","2,122",8.74%,"#5,524"
14737,"42.329050, -78.428611","Franklinville, New York","4,275",8.74%,"#5,526"
13342,"42.648851, -75.178643","Garrattsville, New York",232,8.73%,"#5,542"
13788,"42.338730, -74.666876","Hobart, New York",912,8.73%,"#5,543"
10038,"40.709336, -74.002943","New York, New York","15,574",8.72%,"#5,552"
12435,"41.730835, -74.513284","Greenfield Park, New York",261,8.72%,"#5,553"
14823,"42.249138, -77.558954","Canisteo, New York","3,985",8.71%,"#5,570"
12094,"42.899423, -73.489795","Johnsonville, New York","2,163",8.70%,"#5,584"
13661,"43.720822, -76.097899","Mannsville, New York","2,048",8.68%,"#5,618"
14530,"42.741094, -78.014636","Perry, New York","5,780",8.67%,"#5,633"
14779,"42.137151, -78.741310","Salamanca, New York","7,352",8.67%,"#5,634"
13167,"43.330099, -76.066134","West Monroe, New York","3,449",8.67%,"#5,635"
14801,"42.104056, -77.292968","Addison, New York","5,427",8.66%,"#5,640"
11373,"40.737347, -73.878716","Elmhurst, New York","105,723",8.63%,"#5,670"
11420,"40.673525, -73.817771","South Ozone Park, New York","45,498",8.62%,"#5,690"
12139,"43.500184, -74.579588","Piseco, New York",272,8.60%,"#5,712"
14102,"42.835266, -78.563136","Marilla, New York","1,111",8.60%,"#5,715"
13203,"43.061009, -76.134973","Syracuse, New York","15,435",8.58%,"#5,738"
12959,"44.952351, -73.719912","Mooers Forks, New York","1,467",8.57%,"#5,757"
13312,"43.696622, -75.194994","Brantingham, New York",689,8.56%,"#5,768"
13319,"43.025796, -75.278313","Chadwicks, New York","1,018",8.56%,"#5,770"
12966,"44.798893, -74.418686","North Bangor, New York","2,836",8.55%,"#5,773"
11385,"40.700671, -73.889433","Ridgewood, New York","97,524",8.54%,"#5,800"
10007,"40.713973, -74.008336","New York, New York","3,522",8.52%,"#5,831"
12190,"43.475631, -74.285410","Wells, New York",737,8.51%,"#5,843"
14103,"43.211161, -78.376770","Medina, New York","11,612",8.51%,"#5,848"
10302,"40.630820, -74.137841","Staten Island, New York","16,406",8.45%,"#5,928"
11372,"40.751706, -73.883561","Jackson Heights, New York","71,308",8.43%,"#5,954"
13825,"42.455996, -75.191937","Otego, New York","3,535",8.43%,"#5,956"
13624,"44.209480, -76.093055","Clayton, New York","5,810",8.43%,"#5,958"
13619,"43.978952, -75.600977","Carthage, New York","11,112",8.42%,"#5,974"
14098,"43.333873, -78.378758","Lyndonville, New York","2,896",8.40%,"#6,006"
13323,"43.040114, -75.379336","Clinton, New York","11,772",8.37%,"#6,032"
13835,"42.393463, -76.155520","Richford, New York","1,545",8.37%,"#6,043"
12759,"41.786385, -74.660591","Loch Sheldrake, New York","1,683",8.34%,"#6,065"
11102,"40.772884, -73.926295","Astoria, New York","36,291",8.33%,"#6,089"
12071,"42.575009, -74.413271","Fultonham, New York",279,8.33%,"#6,090"
14305,"43.122642, -79.023024","Niagara Falls, New York","20,319",8.33%,"#6,094"
14619,"43.136082, -77.648985","Rochester, New York","14,754",8.32%,"#6,105"
13131,"43.423243, -76.091802","Parish, New York","4,029",8.31%,"#6,114"
13326,"42.722500, -74.895381","Cooperstown, New York","5,598",8.31%,"#6,120"
12468,"42.299024, -74.400728","Prattsville, New York","1,349",8.29%,"#6,140"
11223,"40.597427, -73.973039","Brooklyn, New York","77,691",8.28%,"#6,153"
11423,"40.717252, -73.768879","Hollis, New York","31,240",8.28%,"#6,156"
12861,"43.746887, -73.417527","Putnam Station, New York",645,8.26%,"#6,188"
13142,"43.556406, -76.129199","Pulaski, New York","6,595",8.26%,"#6,192"
13622,"44.086743, -76.100111","Chaumont, New York","2,082",8.26%,"#6,193"
12937,"44.954775, -74.471763","Fort Covington, New York","1,524",8.24%,"#6,232"
13350,"43.061013, -74.986356","Herkimer, New York","9,878",8.24%,"#6,233"
12517,"42.144292, -73.503163","Copake Falls, New York",317,8.22%,"#6,259"
14070,"42.419658, -78.917725","Gowanda, New York","5,735",8.22%,"#6,261"
13114,"43.463656, -76.241569","Mexico, New York","6,462",8.21%,"#6,279"
13143,"43.235788, -76.714793","Red Creek, New York","3,416",8.20%,"#6,293"
12187,"42.618840, -74.463554","Warnerville, New York",684,8.19%,"#6,313"
13035,"42.931819, -75.824233","Cazenovia, New York","8,065",8.19%,"#6,318"
14843,"42.320079, -77.646339","Hornell, New York","13,383",8.19%,"#6,319"
12093,"42.497796, -74.628095","Jefferson, New York","1,404",8.18%,"#6,327"
12428,"41.734369, -74.457205","Ellenville, New York","8,367",8.15%,"#6,370"
13040,"42.576696, -75.937895","Cincinnatus, New York","2,831",8.14%,"#6,375"
13437,"43.580307, -75.803859","Redfield, New York",497,8.13%,"#6,396"
10550,"40.905448, -73.835253","Mount Vernon, New York","38,284",8.11%,"#6,431"
12878,"43.415025, -74.027450","Stony Creek, New York",714,8.11%,"#6,434"
14210,"42.864041, -78.832957","Buffalo, New York","16,681",8.11%,"#6,435"
14753,"42.040451, -78.638622","Limestone, New York","1,212",8.11%,"#6,437"
12944,"44.442367, -73.514751","Keeseville, New York","4,402",8.10%,"#6,455"
13439,"42.853508, -74.998075","Richfield Springs, New York","3,893",8.09%,"#6,469"
