addr_zip,addr_zip_average_income
10960,115327.05128205128
10962,116980.0
10963,68408.87096774194
10964,273611.84210526315
10965,104895.76059850374
10968,148406.4
10969,74732.25806451614
10970,80172.52336448598
10973,79269.02654867257
10974,87832.07547169812
10975,53375.0
10976,80023.25581395348
10977,60886.222403924774
10980,87154.57102672293
10983,108136.24161073826
10984,85242.85714285714
10985,67056.25
10986,100155.67010309278
10987,196341.17647058822
10989,94608.36653386454
10990,103952.46727089628
10992,81928.54166666667
10993,46987.98449612403
10994,129331.59268929504
10996,76160.3448275862
10998,82145.0
11001,92343.36408800568
11003,55477.964710709886
11004,71146.74384949349
11005,177976.19047619047
11010,78811.45752143415
11020,207713.81578947368
11021,190725.6162915327
11023,200929.33985330074
11024,418183.3333333333
11030,386977.2779700115
11040,106093.4842883549
11050,227257.52794214332
11096,42946.88279301746
11101,93092.7446300716
11102,60665.565307176046
11103,57996.35666347076
11104,63769.215557020434
11105,64968.249106687086
11106,59431.91103041307
11109,184015.0417827298
11201,211177.61549925484
11203,42153.15692952581
11204,56123.238602723504
11205,75363.44755970924
11206,42479.94638069705
11207,35420.48463091766
11208,33229.40129089695
11209,78491.05998835177
11210,77996.18887015177
11211,80432.56336220725
11212,32804.799794661194
11213,42858.83327809082
11214,44464.42237829983
11215,150369.23309178744
11216,55622.60665099093
11217,139832.43243243243
11218,63479.253236976816
11219,49916.56314699793
11220,31025.875414670107
11221,43384.099197665935
11222,81581.73455978975
11223,73040.98409840984
11224,43180.80907745437
11225,52656.959177113466
11226,43226.41830559758
11228,62769.66348568558
11229,63381.91891891892
11230,78745.19789648491
11231,154471.19129438716
11232,44496.79144385027
11233,42255.28158295282
11234,67123.08765403395
11235,61086.41633064516
11236,45653.51094589013
11237,40505.808608441286
11238,96859.81691919192
11239,41247.5234270415
11354,38586.34347275032
11355,29435.373105697294
11356,44991.421763304206
11357,86466.980664353
11358,61504.33884297521
11360,95518.44181459566
11361,71531.78239083751
11362,84026.1692650334
11363,133438.2183908046
11364,71443.73259052925
11365,57157.149467838964
11366,71907.41839762611
11367,60995.15789473684
11368,31270.727198027937
11369,38966.428963247396
11370,47076.62434652726
11372,48522.72340425532
11373,36627.00314218382
11374,64710.63738156761
11375,99451.10304384251
11377,44567.81833985224
11378,56286.82735426009
11379,71314.92204899777
11385,48370.437956204376
11411,53850.83179297597
11412,45775.52483358935
11413,50938.634280476625
11414,73589.86587183308
11415,69096.08650875386
11416,36730.86714399364
11417,46413.023255813954
11418,45977.166666666664
11419,36267.01201823456
11420,43535.696095076404
11421,42191.86717998075
11422,50749.098557692305
11423,50487.711313394015
11426,65253.34051724138
11427,61935.39232053422
11428,49234.89531405782
11429,45574.22222222222
11430,48794.444444444445
11432,49537.004249291786
11433,37902.264600715134
11434,44943.28313253012
11435,43585.55970149254
11436,42468.13074565883
