"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-10-31,"11221","NY","New York-Newark-Jersey City","Kings County","New York",65,2484.27,-0.0052,0.0118,0.0157,20316
2019-10-31,"07030","NJ","New York-Newark-Jersey City","Hudson County","Hoboken",66,2564.02,-0.0009,0.0123,0.0061,22156
2019-10-31,"98052","WA","Seattle-Tacoma-Bellevue","King County","Redmond",67,2336.72,-0.0084,0.0029,0.0389,26078
2019-10-31,"30024","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Suwanee",68,1633.37,0.0039,0.014,-0.0164,31006
2019-10-31,"60610","IL","Chicago-Naperville-Elgin","Cook County","Chicago",69,2187,0.0063,0.0144,0.0031,29318
2019-10-31,"78704","TX","Austin-Round Rock","Travis County","Austin",70,1877.05,0.0041,0.0137,0.0303,19947
2019-10-31,"77077","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",71,1407.8,0.0072,0.0065,-0.0312,17750
2019-10-31,"85032","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",72,1477.08,0.0199,0.0377,0.0635,24060
2019-10-31,"77379","TX","Houston-The Woodlands-Sugar Land","Harris County","Spring",73,1410.93,0.0149,0.0357,0.0144,28787
2019-10-31,"75287","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",74,1364.04,-0.0029,-0.0142,-0.0424,10256
2019-10-31,"10024","NY","New York-Newark-Jersey City","New York County","New York",75,4381.8,0.0232,0.0355,0.1717,26742
2019-10-31,"78666","TX","Austin-Round Rock","Hays County","San Marcos",76,1360.03,-0.0035,-0.0039,-0.0155,12508
2019-10-31,"21234","MD","Baltimore-Columbia-Towson","Baltimore County","Parkville",77,1490.59,0.0198,0.03,0.0004,20863
2019-10-31,"33160","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Sunny Isles Beach",78,2466.09,-0.0001,0.0026,-0.0183,48884
2019-10-31,"23464","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",79,1473.12,0.0105,0.0144,0.0045,26044
2019-10-31,"34787","FL","Orlando-Kissimmee-Sanford","Orange County","Winter Garden",80,1460.62,0.0095,0.0222,0.0387,27666
2019-10-31,"78521","TX","Brownsville-Harlingen","Cameron County","Brownsville",81,850.23,0.0195,0.0118,0.0335,20663
2019-10-31,"08701","NJ","New York-Newark-Jersey City","Ocean County","Lakewood Township",82,1838.72,0.0062,0.0079,0.0314,24815
